Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,10.62,10.68,10.54,10.67,10.67,5811000
2017-12-04,10.69,10.82,10.62,10.77,10.77,5055100
2017-12-05,10.8,10.81,10.68,10.72,10.72,4910800
2017-12-06,10.8,10.94,10.73,10.83,10.83,8070200
2017-12-07,10.72,10.74,10.59,10.7,10.7,6142800
2017-12-08,10.72,10.79,10.67,10.76,10.76,4345400
2017-12-11,10.76,10.95,10.74,10.86,10.86,5273600
2017-12-12,10.83,10.89,10.71,10.72,10.72,4361000
2017-12-13,10.76,10.77,10.54,10.65,10.65,5795700
2017-12-14,10.6,10.8,10.5,10.63,10.63,5587900
2017-12-15,10.68,11.02,10.68,10.8,10.8,22897000
2017-12-18,10.78,11.0,10.73,10.95,10.95,11128400
2017-12-19,10.94,10.98,10.62,10.65,10.65,11735400
2017-12-20,10.65,10.67,10.43,10.58,10.58,7972600
2017-12-21,10.59,10.68,10.46,10.62,10.62,6183900
2017-12-22,10.61,10.73,10.58,10.71,10.71,3625400
2017-12-26,10.75,10.84,10.62,10.64,10.64,3203900
2017-12-27,10.68,10.74,10.61,10.67,10.67,3006200
2017-12-28,10.71,10.77,10.61,10.76,10.76,3365800
2017-12-29,10.77,10.88,10.74,10.83,10.83,4774300
2018-01-02,10.87,10.92,10.78,10.88,10.88,4564500
2018-01-03,10.85,10.97,10.79,10.87,10.87,6181200
2018-01-04,10.84,10.97,10.83,10.83,10.83,5150000
2018-01-05,10.86,10.92,10.78,10.87,10.87,5388200
2018-01-08,10.9,10.93,10.83,10.87,10.87,6689100
2018-01-09,10.83,10.91,10.75,10.76,10.76,9311600
2018-01-10,10.73,10.8,10.64,10.78,10.78,5026200
2018-01-11,10.77,10.99,10.75,10.96,10.96,8242700
2018-01-12,10.97,11.14,10.9,11.04,11.04,8527400
2018-01-16,11.1,11.12,10.67,10.68,10.68,12412800
2018-01-17,10.77,10.85,10.7,10.72,10.72,7138300
2018-01-18,11.81,11.95,11.36,11.53,11.53,30169700
2018-01-19,11.59,11.75,11.49,11.75,11.75,15030300
2018-01-22,11.8,11.81,11.28,11.38,11.38,17730200
2018-01-23,11.3,11.57,11.28,11.42,11.42,10688300
