Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,10.81,10.97,10.53,10.73,10.73,42128800
2017-12-04,10.85,10.86,9.82,10.03,10.03,97328300
2017-12-05,9.89,10.34,9.7,9.91,9.91,67304100
2017-12-06,9.9,10.05,9.71,10.0,10.0,38952200
2017-12-07,10.07,10.19,9.95,10.04,10.04,32665600
2017-12-08,10.15,10.2,9.92,9.94,9.94,34897000
2017-12-11,9.97,10.16,9.96,10.16,10.16,29956400
2017-12-12,10.13,10.14,9.88,9.9,9.9,36211000
2017-12-13,9.97,10.21,9.95,10.11,10.11,41494800
2017-12-14,10.1,10.17,9.96,10.13,10.13,29006800
2017-12-15,10.13,10.32,10.02,10.29,10.29,45462300
2017-12-18,10.6,11.0,10.51,10.98,10.98,63797700
2017-12-19,11.0,11.19,10.87,10.95,10.95,43852900
2017-12-20,11.1,11.18,10.8,10.98,10.98,31420300
2017-12-21,10.98,11.08,10.87,10.89,10.89,21884300
2017-12-22,10.75,10.77,10.2,10.54,10.54,50744500
2017-12-26,10.38,10.58,10.34,10.46,10.46,20437900
2017-12-27,10.45,10.74,10.4,10.53,10.53,22921800
2017-12-28,10.57,10.64,10.43,10.55,10.55,18609400
2017-12-29,10.57,10.58,10.27,10.28,10.28,26678900
2018-01-02,10.42,11.02,10.34,10.98,10.98,44146300
2018-01-03,11.61,12.14,11.36,11.55,11.55,154066700
2018-01-04,12.1,12.43,11.97,12.12,12.12,109503000
2018-01-05,12.19,12.22,11.66,11.88,11.88,63808900
2018-01-08,12.01,12.3,11.85,12.28,12.28,63346000
2018-01-09,12.0,12.02,11.71,11.82,11.82,62560900
2018-01-10,11.63,12.15,11.56,11.96,11.96,52561200
2018-01-11,12.07,12.19,11.9,12.14,12.14,38354900
2018-01-12,11.82,12.07,11.8,12.02,12.02,47149300
2018-01-16,12.05,12.2,11.8,11.91,11.91,42686600
2018-01-17,11.9,12.19,11.82,12.18,12.18,39020800
2018-01-18,12.18,12.68,12.15,12.47,12.47,62086200
2018-01-19,12.56,12.88,12.54,12.59,12.59,46800700
2018-01-22,12.61,12.74,12.37,12.65,12.65,34758600
2018-01-23,12.82,13.0,12.76,12.94,12.94,46227200
